video@query	夜访吸血鬼	b-name i-name i-name i-name i-name
flight@query	帮我查一下明天广州到北京的航班。	o o o o o b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
health@query	肠胃炎怎么治？	b-keyword i-keyword i-keyword o o o o
video@query	汽车总动员	b-name i-name i-name i-name i-name
app@query	搜索声控安卓软件	o o b-name i-name i-name i-name o o
stock@query	苹果公司股票每股多少钱啊	b-name i-name i-name i-name o o o o o o o o
video@query	看电影啊	o b-category i-category o
stock@query	查询中国石化的股价	o o b-name i-name i-name i-name o o o
flight@query	厦门到上海的机票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
health@query	如何治疗颈椎病。	o o o o b-keyword i-keyword i-keyword o
poetry@query	我要听宋词。	o o o b-dynasty o o
poetry@default	你好啊，再背首诗。	o o o o o o o o o
lottery@number_query	帮我买两注双色球	o o o o o b-name i-name i-name
translation@translation	香蕉用英语怎么讲	b-content i-content o b-target i-target o o o
flight@query	贵阳到哈尔滨飞机	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city i-endloc_city o o
cookbook@query	请问意大利面怎么做	o o b-dishname i-dishname i-dishname i-dishname o o o
video@query	憨豆特工	b-name i-name i-name i-name
video@query	小破孩动画片	b-name i-name i-name b-tag i-tag b-category
poetry@query	来一首李煜的词。	o o o b-author i-author o o o
epg@query	收看安徽卫视节目。	o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o
train@query	查下温州到杭州的火车票	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
cookbook@query	田螺怎么炒啊？	b-ingredient i-ingredient o o o o o
cookbook@query	鸡爪怎么炒？	b-ingredient i-ingredient o o o o
message@send	给黄杠发短信	o b-name i-name o o o
music@play	徐良唱的歌	b-artist i-artist o o o
email@create	我想写一个新邮件	o o o o o o o o
music@play	个来一首路灯下的小姑娘。	o o o o b-song i-song i-song i-song i-song i-song i-song o
cookbook@query	馄炖怎么做？	b-dishname i-dishname o o o o
stock@query	我想知道科大讯飞的市值	o o o o b-name i-name i-name i-name o o o
train@query	北京到上海的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
cookbook@query	搜索烤饼的做法。	o o b-ingredient i-ingredient o o o o
app@launch	打开uc浏览器登录新浪网主页	o o b-name i-name i-name i-name i-name o o o o o o o
video@query	我的幸福	b-name i-name i-name i-name
match@query	我想看足球中超，第25轮的比赛时间。	o o o o o b-category i-category o o o o o o o o o o o
translation@translation	翻译秋天	o o b-content i-content
video@query	青春期撞上更年期二	b-name i-name i-name i-name i-name i-name i-name i-name i-name
translation@translation	小说英语怎么说	b-content i-content b-target i-target o o o
cookbook@query	给蛋炒饭怎么做？	o b-dishname i-dishname i-dishname o o o o
cookbook@query	鸡煲啊！	b-dishname i-dishname o o
video@query	蝎子王蝎子王	b-name i-name i-name o o o
poetry@query	查一首古诗，武林春。	o o o o o o b-name i-name i-name o
translation@translation	我们一起去玩吧用英文怎么说	b-content i-content i-content i-content i-content i-content i-content o b-target i-target o o o
train@query	从广州到南昌的火车票时刻表	o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o o o o
video@query	北疆战士	b-name i-name i-name i-name
video@query	我想要看很火的电影	o o o o o b-popularity o b-category i-category
video@query	请帮我打开电影	o o o o o b-category i-category
message@sendcontacts	把侨天慧的号码发给副卡	o b-name i-name i-name o o o o o b-receiver i-receiver
cookbook@query	虾仁饭。	b-dishname i-dishname i-dishname o
website@open	那你帮我打开百度	o o o o o o b-name i-name
train@query	帮我查一下临海到上海的火车	o o o o o b-startloc_area i-startloc_area o b-endloc_city i-endloc_city o o o
lottery@number_query	大乐透的开奖情况	b-name i-name i-name o o o o o
train@query	查一下从广州到南宁的火车票	o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
train@query	搜索郑州到南阳的火车票	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
train@query	姜堰到南京的火车	b-startloc_area i-startloc_area o b-endloc_city i-endloc_city o o o
poetry@query	那你给我背一首唐诗吧！	o o o o o o o b-dynasty o o o
match@query	查询中超赛事。	o o b-category i-category o o o
contacts@query	查看之丽丽的号码	o o b-name i-name i-name o o o
telephone@dial	打电话给贾青子	o o o o b-name i-name i-name
music@play	我想亲亲我的宝贝这首歌	o o b-song i-song i-song i-song i-song i-song o o o
cookbook@query	松菇鸡汤的做法。	b-dishname i-dishname i-dishname i-dishname o o o o
flight@query	帮我订一张杭州到上海的机票	o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
website@open	打开丰顺县政府网	o o b-name i-name i-name i-name i-name i-name
train@query	火车南京到衡水	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city
match@query	恒大山东鲁能比分是多少？	b-homename i-homename b-awayname i-awayname i-awayname i-awayname o o o o o o
train@query	厦门到赣州的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
flight@query	汕头到重庆的航班	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
video@query	整人专家的电影	b-name i-name i-name i-name o b-category i-category
stock@query	真达林业的股票怎么样	b-name i-name i-name i-name o o o o o o
epg@query	书画频道上周六有开始非诚勿扰么	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date i-datetime_date o o o b-name i-name i-name i-name o
lottery@number_query	帮我查一下上一期的大乐透	o o o o o b-relissue i-relissue i-relissue o b-name i-name i-name
app@launch	帮我开捕鱼达人	o o o b-name i-name i-name i-name
cookbook@query	猪舌头怎么做比较啊子？	b-ingredient i-ingredient i-ingredient o o o o o o o o
train@query	四月六号南宁到上海的火车	b-startdate_date i-startdate_date i-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
epg@query	我回去看昨天晚上播出的爸爸去哪儿31频道	o o o o b-datetime_date i-datetime_date b-datetime_time i-datetime_time o o o b-name i-name i-name i-name i-name b-code i-code o o
cookbook@query	刀削面怎么样做。	b-ingredient i-ingredient i-ingredient o o o o o
cookbook@query	米粉肉怎么做？	b-dishname i-dishname i-dishname o o o o
poetry@query	背一首李白的诗来听听。	o o o b-author i-author o o o o o o
riddle@query	打个谜语吧！	o o b-category i-category o o
email@create	我想写一个邮件	o o o o o o o
cookbook@query	白切鸡怎么做啊？	b-dishname i-dishname i-dishname o o o o o
poetry@query	恶念首唐诗。	o o o b-dynasty o o
video@query	播七龙珠	o b-name i-name i-name
cookbook@query	怎样做糖醋排骨时，去吃饭洗澡了。	o o o b-dishname i-dishname i-dishname i-dishname o o o o o o o o o
cookbook@query	蒸鱼。	b-dishname i-dishname o
website@open	进入当乐网	o o b-name i-name i-name
message@sendcontacts	把高建清的号码发给潘青华	o b-name i-name i-name o o o o o b-receiver i-receiver i-receiver
message@send	发信息给健美	o o o o b-name i-name
music@play	来一首隐形的翅膀。	o o o b-song i-song i-song i-song i-song o
cookbook@query	蒜苔的做法	b-ingredient i-ingredient o o o
music@play	来一首解脱	o o o b-song i-song
health@query	甲亢怎么办？	b-keyword i-keyword o o o o
video@query	猫眼三姐妹	b-name i-name i-name i-name i-name
cookbook@query	土豆丝是怎么炒？	b-dishname i-dishname i-dishname o o o o o
poetry@query	诗词满江红。	o o b-name i-name i-name o
video@query	换到米老鼠	o o b-name i-name i-name
video@query	韩国电视连续剧老大	b-area i-area b-category i-category i-category i-category i-category b-name i-name
poetry@query	背一首声声慢。	o o o b-name i-name i-name o
cookbook@query	羊肉怎么烧？	b-ingredient i-ingredient o o o o
video@query	粉红女郎	b-name i-name i-name i-name
message@send	我要给陈永信息	o o o b-name i-name o o
tvchannel@play	帮我调转到风云音乐频道	o o o o o b-name i-name i-name i-name i-name i-name
tvchannel@play	远教四台	b-name i-name i-name i-name
cookbook@query	菠萝包怎么做？	b-dishname i-dishname i-dishname o o o o
radio@launch	麻烦您能否帮我调频97.1汉中音乐广播电台	o o o o o o o o o b-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name i-name
video@query	播放神话	o o b-name i-name
music@play	来一首宝贝对不起	o o o b-song i-song i-song i-song i-song
lottery@number_query	我要购买七乐彩	o o o o b-name i-name i-name
cookbook@query	做红烧肉怎么做？	o b-dishname i-dishname i-dishname o o o o
translation@translation	大家今天心情如何用英语怎么说	b-content i-content i-content i-content i-content i-content i-content i-content o b-target i-target o o o
stock@query	中国工商银行的股票	b-name i-name i-name i-name i-name i-name o o o
cookbook@query	蛋糕可以做蛋糕吗？	b-dishname i-dishname o o o o o o o
epg@query	cctv-5节目表	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o
train@query	帮我查一下淮安到石家庄的火车	o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city i-endloc_city o o o
poetry@query	念一首唐诗给我听。	o o o b-dynasty o o o o o
map@route	去华强北的路怎么走	o b-endloc_poi i-endloc_poi i-endloc_poi o o o o o
translation@translation	小老虎用英语怎么讲	b-content i-content i-content o b-target i-target o o o
app@launch	黎宇我要玩中国象棋	o o o o o b-name i-name i-name i-name
cookbook@query	炖鲢鱼怎么做？	b-dishname i-dishname i-dishname o o o o
video@query	青瓷电视剧	b-name i-name b-category i-category i-category
tvchannel@play	axn	b-name i-name i-name
flight@query	查询后天成都到伦敦的航班	o o b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
epg@query	你，湖南卫视正在播出什么？你。	o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o o o o o
message@send	发短信给林晓云说我爱你	o o o o b-name i-name i-name o b-content i-content i-content
map@position	帮我搜一下科大讯飞在哪	o o o o o b-location_poi i-location_poi i-location_poi i-location_poi o o
translation@translation	挑逗你真好玩儿英语怎么说	b-content i-content i-content i-content i-content i-content i-content b-target i-target o o o
flight@query	给我定一张株洲到深圳的机票	o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
stock@query	查询大力传媒的股票	o o b-name i-name i-name i-name o o o
video@query	动画片	b-tag i-tag b-category
cookbook@query	红烧猪蹄怎么做	b-dishname i-dishname i-dishname i-dishname o o o
tvchannel@play	cctv6电影	b-name i-name i-name i-name i-name i-name i-name
novel@query	赶紧推荐一部小说。	o o o o o o o o o
train@query	查一下吉安至武汉的火车	o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
riddle@query	再讲一个谜语吧！	o o o o b-category i-category o o
cookbook@query	周黑鸭怎么做？	o o b-ingredient o o o o
map@route	沿途的科大讯飞	o o o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi
flight@query	明天去南昌的航班。	b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o o
tvchannel@play	搜索湖南卫视直播。	o o b-name i-name i-name i-name o o o
cookbook@query	米饭怎么做	b-dishname i-dishname o o o
epg@query	可不中央五套明天的节目单	o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date o o o o
cookbook@query	红烧带鱼怎么做？你？	b-dishname i-dishname i-dishname i-dishname o o o o o o
website@open	访问京东商城的网页	o o b-name i-name o o o o o
video@query	动画片巴啦啦小魔仙	b-tag i-tag b-category b-name i-name i-name i-name i-name i-name
cookbook@query	冰激凌怎么做哦	b-dishname i-dishname i-dishname o o o o
flight@query	阜阳到温州的航班	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
telephone@dial	打电话给黄组织	o o o o b-name i-name i-name
cookbook@query	用电压力锅怎么蒸米粉肉。	o o b-utensil i-utensil i-utensil o o b-dishname i-dishname i-dishname i-dishname o
radio@launch	请帮我调一下电台到镇江新闻广播	o o o o o o o o o b-name i-name i-name i-name i-name i-name
novel@query	我要看末世进化小说	o o o b-category i-category i-category i-category o o
flight@query	二十五日去深圳的航班	b-startdate_date i-startdate_date i-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
cookbook@query	酱牛肉怎么做	b-dishname i-dishname i-dishname o o o
music@play	我要听那首最美的时光	o o o o o b-song i-song i-song i-song i-song
telephone@dial	打给曾玮文	o o b-name i-name i-name
telephone@dial	请打电话给沈晨浩	o o o o o b-name i-name i-name
epg@query	cctv-10的百家讲坛	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel o b-name i-name i-name i-name
cookbook@query	水果沙拉怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o
tvchannel@play	cctv6电影高清	b-name i-name i-name i-name i-name i-name i-name b-resolution i-resolution
video@query	泰国的节目	b-area i-area o b-category i-category
epg@query	青海卫视频道的节目单	b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o o
cookbook@query	帮我看一下糖醋排骨怎么烧？	o o o o o b-dishname i-dishname i-dishname i-dishname o o o o
email@replay_all	我要全部回复	o o o o o o
poetry@query	来一首唐诗吗？	o o o b-dynasty o o o
cookbook@query	凉菜是怎么做的？	b-keyword i-keyword o o o o o o
novel@query	搜索中国共产党章程	o o b-name i-name i-name i-name i-name i-name i-name
app@launch	我想上qq了	o o o b-name i-name o
email@launch	我想打开新邮件	o o o o o o o
tvchannel@play	cctv四套	b-name i-name i-name i-name i-name i-name
train@query	合肥到芜湖的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
match@query	7月13号广州恒大俱乐部的比赛有哪些	b-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date b-name i-name i-name i-name o o o o o o o o o
telephone@dial	给爸爸打电话	o b-name i-name o o o
video@query	薛平贵与王宝钏	b-name i-name i-name i-name i-name i-name i-name
flight@query	今天新余到北京的航班	b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
radio@launch	打开安徽交通台	o o b-name i-name i-name i-name i-name
epg@query	安徽卫视今晚放什么节目啊？	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_time i-datetime_time o o o o o o o
cookbook@query	恒宇乐活鱼怎么做的好吃的回复哦，你。	o o o b-ingredient i-ingredient o o o o o o o o o o o o o
cinemas@query	最近热门的电影。	o o o o o o o o
telephone@dial	帮我打电话给港铁轮	o o o o o o b-name i-name i-name
video@query	电影私人定制	b-category i-category b-name i-name i-name i-name
message@send	发信息给学超	o o o o b-name i-name
translation@translation	明天有什么活动用英语怎么讲	b-content i-content i-content i-content i-content i-content i-content o b-target i-target o o o
video@query	天才碰麻瓜	b-name i-name i-name i-name i-name
message@sendcontacts	把李会计的电话发给小江	o b-name i-name i-name o o o o o b-receiver i-receiver
music@play	我想听只对你有感觉	o o o b-song i-song i-song i-song i-song i-song
message@send	发短信	o o o
translation@translation	我饿用英文怎么说	b-content i-content o b-target i-target o o o
translation@translation	翻译我想去远方	o o b-content i-content i-content i-content i-content
weather@query	那会不会下雨	o b-questionword i-questionword i-questionword o b-subfocus
message@send	给李光发短信	o b-name i-name o o o
cookbook@query	秋葵怎么做？	b-ingredient i-ingredient o o o o
music@play	来一首我们的歌谣。	o o o b-song i-song i-song i-song i-song o
cookbook@query	帮我找出红烧肉的做法。	o o o o b-dishname i-dishname i-dishname o o o o
health@query	鼻息肉	b-keyword i-keyword i-keyword
poetry@query	朗读咏雪	o o b-name i-name
poetry@query	我背一下春晓。	o o o o b-name i-name o
cinemas@query	我要查找雷迪波尔电影院最新上映的大片	o o o o b-theatre i-theatre i-theatre i-theatre i-theatre i-theatre i-theatre o o o o o o o
website@open	我想看一下凤凰网	o o o o o b-name i-name i-name
cookbook@query	椒盐排骨怎么做？你？	b-dishname i-dishname i-dishname i-dishname o o o o o o
train@query	帮我在百度里搜一下东莞到北京的火车	o o o o o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cinemas@query	最近有什么科幻电影？	o o o o o b-category i-category o o o
news@play	秦皇岛今天有什么新闻	b-location_city i-location_city i-location_city b-datetime_date i-datetime_date o o o o o
map@route	导航到江门	o o o b-endloc_city i-endloc_city
music@play	放歌，天亮了。	o o o b-song i-song i-song o
message@send	发短信给王小露的	o o o o b-name i-name i-name o
bus@query	在菏泽怎么坐去北京的车。	o b-src i-src o o o o b-dest i-dest o o o
video@query	老版红楼梦	o o b-name i-name i-name
poetry@query	背一首春晓	o o o b-name i-name
tvchannel@play	我看呀中央五台	o o o b-name i-name i-name i-name
flight@query	查询今天成都到北京的航班	o o b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
map@route	往火车北站怎么走	o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
epg@query	电视台现在在播放什么大陆动漫	o o o b-datetime_time i-datetime_time o o o o o b-area i-area b-category i-category
train@query	帮我搜索一下宜春到长沙的火车	o o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
epg@query	搜一下cctv74月15号播出新编辑部的故事呢	o o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date o o b-name i-name i-name i-name i-name i-name i-name o
riddle@query	让我猜个谜语。	o o o o b-category i-category o
health@query	烧伤怎么治疗啊？	b-keyword i-keyword o o o o o o
bus@query	从聊城到东营的车。	o b-src i-src o b-dest i-dest o o o
telephone@dial	打电话给hello word	o o o o b-name i-name i-name i-name i-name i-name i-name i-name i-name i-name
map@position	松江钢材城在哪里	b-location_poi i-location_poi i-location_poi i-location_poi i-location_poi o o o
cookbook@query	红烧狮子头怎么做	b-dishname i-dishname i-dishname i-dishname i-dishname o o o
video@query	那你查一下最近的热门电影是什么？	o o o o o b-timedescr i-timedescr o b-popularity i-popularity b-category i-category o o o o
riddle@query	帮我出一个灯谜。	o o o o o b-category i-category o
video@query	杨三姐告状	b-name i-name i-name i-name i-name
map@route	去永康怎么走	o b-endloc_area i-endloc_area o o o
video@query	恶熊出没	o b-name i-name i-name
cookbook@query	煲鸡汤。	b-dishname i-dishname i-dishname o
tvchannel@play	cctv7军事农业	b-name i-name i-name i-name i-name i-name i-name i-name i-name
cookbook@query	小白菜拌豆腐怎么做呀？	o b-dishname i-dishname i-dishname i-dishname i-dishname o o o o o
music@play	来一首月亮惹的祸	o o o b-song i-song i-song i-song i-song
map@position	查询沿途的ktv	o o o o o b-location_poi i-location_poi i-location_poi
stock@query	青岛海信股票	o o b-name i-name o o
epg@query	周六晚上重庆卫视有转播神探高伦布吗	b-datetime_date i-datetime_date b-datetime_time i-datetime_time b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o b-name i-name i-name i-name i-name o
video@query	想唱就唱	b-name i-name i-name i-name
message@send	给徐茶叶发短信	o b-name i-name i-name o o o
riddle@query	动物谜语。	b-category i-category i-category i-category o
music@play	喂喂那个我说想听音乐呢	o o o o o o o o o o o
health@query	肩关节周围炎	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword
epg@query	今天什么好看电影？	b-datetime_date i-datetime_date o o o o b-category i-category o
video@query	我要看李连杰的电影	o o o b-artist i-artist i-artist o b-category i-category
map@route	新东站怎么走	b-endloc_poi i-endloc_poi i-endloc_poi o o o
email@create	帮我写一条新邮件	o o o o o o o o
stock@query	科大讯飞的股票是多少a	b-name i-name i-name i-name o o o o o o o
message@send	帮我发条短信吧	o o o o o o o
app@launch	正韵打开相机	o o o o b-name i-name
message@send	传简讯给家里	o o o o b-name i-name
stock@query	中国石化的股价怎么样	b-name i-name i-name i-name o o o o o o
stock@query	科大讯飞今天的股票	b-name i-name i-name i-name o o o o o
flight@query	查询上海到玉林的航班。	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
cookbook@query	蒜茄子怎么做？	b-dishname i-dishname i-dishname o o o o
tvchannel@play	小c 你好我想看河北卫视	o o o o o o o o b-name i-name i-name i-name
translation@translation	我不吃英文怎么讲	b-content i-content i-content b-target i-target o o o
flight@query	从广州到贵阳市的航班	o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
riddle@query	猜个谜语哦。	o o b-category i-category o o
stock@query	查询中信国安的股票	o o b-name i-name i-name i-name o o o
translation@translation	今天我要去逛街用英语说	b-content i-content i-content i-content i-content i-content i-content o b-target i-target o
stock@query	科大讯飞昨日成交价	b-name i-name i-name i-name b-yesterday i-yesterday o o o
video@query	甄嬛传高清	b-name i-name i-name b-resolution i-resolution
cookbook@query	的，酸菜鱼怎么做？怎么？	o o b-dishname i-dishname i-dishname o o o o o o o
music@play	听时间煮雨这首歌	o b-song i-song i-song i-song o o o
app@launch	打开系统软件清理	o o b-name i-name i-name i-name i-name i-name
app@launch	打开酷狗并随机播放	o o b-name i-name o o o o o
tvchannel@play	中央电视台电影频道	b-name i-name i-name i-name i-name i-name i-name i-name i-name
translation@translation	翻译这个多少钱	o o b-content i-content i-content i-content i-content
video@query	那么最近有什么好电影呢？	o o b-timedescr i-timedescr o o o b-scoredescr b-category i-category o o
cookbook@query	怎么做水煮鱼店？	o o o b-dishname i-dishname i-dishname o o
video@query	中国合伙人	b-name i-name i-name i-name i-name
translation@translation	你叫什么名字英文怎么说	b-content i-content i-content i-content i-content i-content b-target i-target o o o
news@play	我想跟今天的新闻。	o o o b-datetime_date i-datetime_date o o o o
translation@translation	翻译慷慨激昂	o o b-content i-content i-content i-content
poetry@query	背离骚给我听。	o b-name i-name o o o o
website@open	浏览一下百度	o o o o b-name i-name
message@send	发短信给王亮说死人你在干什么呢	o o o o b-name i-name o b-content i-content i-content i-content i-content i-content i-content i-content
stock@query	查询股票00230	o o o o b-code i-code i-code i-code i-code
cookbook@query	风魔炒鱼香肉丝。	b-dishname i-dishname i-dishname i-dishname i-dishname i-dishname i-dishname o
cookbook@query	小杰炖蘑菇怎么做？	o o b-dishname i-dishname i-dishname o o o o
cookbook@query	搜索西红柿的做法。	o o b-ingredient i-ingredient i-ingredient o o o o
video@query	看东方	o b-name i-name
poetry@query	刘禹锡的秋词。	b-author i-author i-author o b-name i-name o
cookbook@query	做红烧肉。	o b-dishname i-dishname i-dishname o
news@play	我想今天新闻最近有什么新的新闻？	o o b-datetime_date i-datetime_date o o o o o o o o o o o o
flight@query	八月一号去上海的航班	b-startdate_date i-startdate_date i-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
cookbook@query	鱼香肉丝，怎么炒？	b-dishname i-dishname i-dishname i-dishname o o o o o
app@launch	进入设置菜单	o o b-name i-name o o
cookbook@query	人造鸡蛋的配方。	b-dishname i-dishname i-dishname i-dishname o o o o
video@query	花开半夏	b-name i-name i-name i-name
cookbook@query	帮我搜索一下羊肉面片。	o o o o o o b-dishname i-dishname i-dishname i-dishname o
radio@launch	请帮我调频89.7上虞人民广播电台	o o o o o b-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name i-name
riddle@query	灯谜惑下。	b-category i-category o o o
flight@query	查一下明天青岛飞往上海的飞机都有哪一些都是几点的	o o o b-startdate_date i-startdate_date b-startloc_city i-startloc_city o o b-endloc_city i-endloc_city o o o o o o o o o o o o o
website@open	打开网页小米论坛	o o o o b-name i-name i-name i-name
cookbook@query	素鸡	b-dishname i-dishname
message@send	发信息给老妈说我在吃饭	o o o o b-name i-name o b-content i-content i-content i-content
bus@query	从东莞去北海的汽车。	o b-src i-src o b-dest i-dest o o o o
cookbook@query	糖醋排骨怎么做？好了额，你。	b-dishname i-dishname i-dishname i-dishname o o o o o o o o o o
map@position	沿途有没有加油站	o o o o o b-location_poi i-location_poi i-location_poi
match@query	中超赛事预告，你。	b-category i-category o o b-type i-type o o o
app@launch	打开搜狐新闻	o o b-name i-name i-name i-name
email@replay_all	我想全部回复	o o o o o o
health@query	贫血怎么治？	b-keyword i-keyword o o o o
epg@query	中央六台有什么节目	b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o
cookbook@query	蛋炒饭怎么煮	b-dishname i-dishname i-dishname o o o
translation@translation	我不知道的英文怎么说	b-content i-content i-content i-content o b-target i-target o o o
message@send	发送短信给东莞李月华就说今天赶紧回来	o o o o o b-name i-name i-name i-name i-name o o b-content i-content i-content i-content i-content i-content
epg@query	看中央七频道讲武堂节目	o b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel b-name i-name i-name o o
video@query	请打开电影	o o o b-category i-category
translation@translation	很高兴见到你英文怎么讲	b-content i-content i-content i-content i-content i-content b-target i-target o o o
flight@query	明天从桂林到杭州的航班	b-startdate_date i-startdate_date o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	语音火锅怎么做啊？啊？	o o b-dishname i-dishname o o o o o o o
telephone@dial	拨打陈艾电话	o o b-name i-name o o
flight@query	从厦门到昆明的飞机	o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
music@play	来一首钟汉良的视觉动物	o o o b-artist i-artist i-artist o b-song i-song i-song i-song
news@play	播放最近的新闻。	o o b-datetime_date i-datetime_date o o o o
stock@query	查寻三星股价	o o b-name i-name o o
news@play	哦，听新闻。	o o o o o o
epg@query	给我搜搜什么电视台什么时间有转播神探高伦布	o o o o o o o o o o o o o o o o b-name i-name i-name i-name i-name
news@play	我想听昨天晚上的新闻。	o o o b-datetime_date i-datetime_date b-datetime_time i-datetime_time o o o o
music@play	我想听水墨丹青这首歌	o o o b-song i-song i-song i-song o o o
poetry@query	哪里香我来一首李白的诗。	o o o o o o o b-author i-author o o o
cookbook@query	黑芝麻怎么炒？	b-ingredient i-ingredient i-ingredient o o o o
contacts@query	周慧的电话。	b-name i-name o o o o
cookbook@query	排骨怎么弄才好吃？	b-ingredient i-ingredient o o o o o o o
cookbook@query	哈哈，吃了水煮鱼怎么做？	o o o o o b-dishname i-dishname i-dishname o o o o
stock@query	江苏阳光的股票怎么样了	b-name i-name i-name i-name o o o o o o o
poetry@query	来一首李清照的词	o o o b-author i-author i-author o o
message@send	给小阳发短信	o b-name i-name o o o
poetry@query	白居易的诗词。	b-author i-author i-author o o o o
news@play	今天温州有什么新闻。	b-datetime_date i-datetime_date b-location_city i-location_city o o o o o o
music@play	我想听歌曲传奇	o o o o o b-song i-song
app@launch	打开德州扑克	o o b-name i-name i-name i-name
bus@query	合肥到上海可以到哪坐车？	b-src i-src o b-dest i-dest o o o o o o o
stock@query	查询东方集团的股票	o o b-name i-name i-name i-name o o o
poetry@query	来首唐诗小池	o o b-dynasty o b-name i-name
message@sendcontacts	把王建春的电话号码发给张学政	o b-name i-name i-name o o o o o o o b-receiver i-receiver i-receiver
music@play	我要点一首小星星	o o o o o b-song i-song i-song
flight@query	到贵阳的航班。	o b-endloc_city i-endloc_city o o o o
cookbook@query	鱼香肉丝，怎么做得？	b-dishname i-dishname i-dishname i-dishname o o o o o o
website@open	给我打开百度网	o o o o b-name i-name o
video@query	请播放一下举起手来	o o o o o b-name i-name i-name i-name
match@query	中超比赛结果，今天呢？	b-category i-category o o o o o b-datetime_date i-datetime_date o o
match@query	广州恒大亚冠联赛，比赛时间。	b-name i-name i-name i-name b-category i-category i-category i-category o o o o o o
telephone@dial	打电话给陈雷	o o o o b-name i-name
video@query	2013年的警匪电视剧	b-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date o b-tag i-tag b-category i-category i-category
map@route	去深圳怎么坐车？	o b-endloc_city i-endloc_city o o o o o
health@query	包皮过长，怎么办？哦。	b-keyword i-keyword i-keyword i-keyword o o o o o o o
bus@query	九江到景德镇的汽车。	b-src i-src o b-dest i-dest i-dest o o o o
website@open	打开搜狐网首页	o o b-name i-name i-name o o
poetry@query	背屈原的离骚	o b-author i-author o b-name i-name
riddle@query	也来个灯谜吗？	o o o b-category i-category o o
music@play	我想听星月神话	o o o b-song i-song i-song i-song
poetry@default	读一首古诗给我听吧！	o o o o o o o o o o
video@query	给我搜个电影	o o o o b-category i-category
